Pipeline,Loc Desc,Zone,Point
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"AGT-Wanaque Interconnect (Passaic,NJ) | 208"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Algonquin - Lambertville, NJ | 210"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Brookfield (Fairfield,CT) | 251"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Brookfield In-Line Transfer Point | 782217
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Centerpoint-Perryville | 44085
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Centerville-Transco (Morris,NJ) | 220"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Cocodrie 523 Bluewater | 999012883
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Columbia Hanover (Morris,NJ) | 240"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Consolidated Edison | 218531
"Algonquin Gas Transmission, LLC",Receipt,Entire System,East Braintree Custody Transfer Point | 99857
"Algonquin Gas Transmission, LLC",Receipt,Entire System,East To West Montville | 259
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Everett Int. (Middlesex,MA) | 271"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Excelerate MS - (Essex,MA) | 620"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Excellence MS -(Essex, MA) | 621"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Exemplar (Essex,MA) | 626"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Expedient (Essex,MA) | 625"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Express (Essex,MA) | 623"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - Exquisite (Essex,MA) | 624"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Excelerate Energy LP - NE Gateway-Explorer (Essex,MA) | 622"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,G-12 System | 80070
"Algonquin Gas Transmission, LLC",Receipt,Entire System,G-22 System | 80074
"Algonquin Gas Transmission, LLC",Receipt,Entire System,G-24 Lateral Head Of Lateral | 1091481
"Algonquin Gas Transmission, LLC",Receipt,Entire System,G-24 Lateral Head of Lateral | 80060
"Algonquin Gas Transmission, LLC",Receipt,Entire System,I-3 System Mainline | 1091464
"Algonquin Gas Transmission, LLC",Receipt,Entire System,I-3 System Mainline | 80041
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect AGT G-10 Lat & Cleary Lateral | 80003
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Interconnect AGT G-SYS Bourne, MA & Canal Lateral | 80004"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect AGT Mainline & Lake Road | 384763
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect AGT Q and 1-3 Systems | 384766
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect Between Middleton Lat & AGT Mainline | 80001
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnect Between Suez Neptune And Hubline | 89848
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Interconnection Between Northeast Gateway and Hubline Mainline | 88202
"Algonquin Gas Transmission, LLC",Receipt,Entire System,J-2 System | 80094
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Kleen Energy Lateral | 1399806
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Kleen Energy Lateral | 80101
"Algonquin Gas Transmission, LLC",Receipt,Entire System,LATERAL B SYSTEM | 0
"Algonquin Gas Transmission, LLC",Receipt,Entire System,LATERAL B SYSTEM | 482208
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Lateral B System Mainilne | 80009
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Lateral C-8 System | 1091469
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Lateral C-8 System | 80054
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Lateral E System Mainline | 80031
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Lateral G-1 System | 438171
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Lateral G-1 System Mainline | 80035
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Lateral T System | 80022
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Lateral Y System | 80012
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Lateral Z System | 80016
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Lincoln (Middlesex,MA) | 206"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Mahwah (Bergen,NJ) | 201"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Mahwah In-Line Transfer Point | 99856
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Marathon (Middlesex,MA) | 230"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Mendon (Norfolk,MA) | 205"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Mirant Canal, (Barnstable,MA) | 218205"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"National Grid-Dey St. (Providence,RI) | 4"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,NJ-NY Mainline | 99200
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Northeast Gateway Deep Water Port (Dwp1) | 89847
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Northeast Gateway Deep Water Port | 802696
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"NRG Middletown, (Middlesex,CT) | 810"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Phelps Dodge Lateral Point | 99815
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Portland Storage Withdrawal | 218215
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Q-1 Extension | 80043
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Q-1 EXTENSION MAINLINE | 80042
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Ramapo (Rockland,NY) | 202"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Ramapo - Millennium (Rockland,NY) | 214"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Salem Essex Co., MA (Essex,MA) | 215"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Salem Lateral | 80107
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Salem Lateral Custody Transfer Point | 99855
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Sigeco South Deduct | 398538
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Southington | 42972
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Storage Complex Inject | 220834
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Suez Cape Ann, LNG -(Essex, MA) | 631"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"Suez Neptune LNG -(Essex, MA) | 630"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,"TETCO - Hanover (Morris,NJ) | 211"
"Algonquin Gas Transmission, LLC",Receipt,Entire System,TETCO | 181152
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Transwestern Canadian - Rec. | 35135
"Algonquin Gas Transmission, LLC",Receipt,Entire System,West Roxbury Lateral | 80104
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Yankee-Rec@Norwich (Temp. Rec.) | 1228970
"Algonquin Gas Transmission, LLC",Receipt,Entire System,Zone 4 200 Line Pooling Area | 223371
"Algonquin Gas Transmission, LLC",Delivery,Entire System,AGT Delivery To Norwich | 1228969
"Algonquin Gas Transmission, LLC",Delivery,Entire System,AGT To Te Hanover | 840
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"AGT-Wanaque Interconnect (Passaic,N | 208"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Anp Bellingham Energy Company (Norfolk,MA) | 814"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Ashland (Middlesex,MA) | 43"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Ball Foster (Norfolk,MA) | 809"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Bay State | 181151
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"BELD - Braintree Electric Light (Norfolk,MA) | 834"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Bellingham(Norfolk,MA) | 94"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Bernards (Somerset,NJ) | 55"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Beverly - Essex Co. Ma. | 379022
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Bos Gas Co D | 218535
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Brayton Point Energy, LLC | 90"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Bristol (Hartford,CT) | 85"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Brockton (Plymouth,MA) | 24"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Brookfield (Fairfield,CT) | 251"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Brookfield Delivery (Fairfield,CT) | 851"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Brookfield In-Line Transfer Point | 782217
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Brookford St (Middlesex,MA) | 28"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Cambridge | 11497
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Canal Generating | 806
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Canton (Norfolk,MA) | 58"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Charles River Rd (Norfolk,MA) | 38"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Cheshire (New Haven,CT) | 280"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Citizens Shipper Ded | 132995
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"CMEEC-Pierce Power Plant-(New Haven,CT) | 831"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Col Gas Co D | 218534
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Columbia Hanover (Morris,NJ) | 240"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Commonwealth | 218533
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Connecticut Natural | 218529
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Consolidated Edison | 218531
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Cortlandt (Westchester,NY) | 47"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,CPV Towantic | 843
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Cromwell (Middlesex,CT) | 78"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Crowville Louisiana | 8164
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Danbury (Fairfield,CT) | 63"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Dartmouth Power (Norfolk,MA) | 93"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Defco (New Haven,CT) | 77"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Dighton Power LLC Bristol MA (Bristol,MA) | 815"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Dover (Norfolk,MA) | 66"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Dynegy Lake Road (Windham,CT) | 817"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,East Braintree Custody Transfer Point | 99857
"Algonquin Gas Transmission, LLC",Delivery,Entire System,East Texarkana T B | 287279
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Exelon/Constellation Energy, Norfolk Co., MA | 844"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Fall River Gas | 218532
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Farmington (Hartford,CT) | 68"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Fore River (Norfolk,MA) | 803"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Franklin (New London,CT) | 805"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Freetown (Bristol,MA) | 15"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,G-12 System G-5 Mainline | 80071
"Algonquin Gas Transmission, LLC",Delivery,Entire System,G-24 Mainline Head Of Lateral | 1091482
"Algonquin Gas Transmission, LLC",Delivery,Entire System,G-24 Mainline Head of Lateral | 80806
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Genconn Power Plant | 836
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Glastonbury (Hartford,CT) | 75"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Greenville (Norwich, CT) | 54"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Guilford (New Haven,CT) | 30"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Hebron (Hartford,CT) | 804"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Hopedale (Norfolk,MA) | 25"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Ind Gas (OPRL) Shipper De | 140552
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Interconnect AGT G-Sys Bourne, Ma & Canal Lateral | 384765"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Interconnect Agt Mainline & Lake Road Lalteral | 80000
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Interconnect Agt Mainline & Lake Road Lalteral | 80000
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Interconnect Between Middleton Lat | 80001
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Interconnection Between Northeast G | 1091452
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Interconnection Between Northeast Gateway And Hubline | 88203
"Algonquin Gas Transmission, LLC",Delivery,Entire System,J-2 System Mainline | 80095
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Kensington New Haven, Ct | 31"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Kleen Energy | 833
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Kleen Energy Lateral Mainline | 1399805
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Kleen Energy Lateral Mainline | 80100
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Lambertville (Hunterdon,NJ) | 14192"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Lambertville Delivery (Hunterdon, NJ) | 2210"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Lateral C System Mainline | 482211
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Lateral C System Mainline | 80029
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Lateral E System Mainline | 80031
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Lateral G System Canal Mainline | 80047
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Lateral G-1 System Mainline | 80035
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Lateral M System Mainline | 80059
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Lateral W System Mainline | 80063
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Ledyard (New London,CT) | 802"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Leola Arkansas 18-20 | 286965
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Little Rock Tb 5-1 | 208434
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Mahwah (Bergen,NJ) | 201"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Mahwah In-Line Transfer Point | 99856
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Mansfield (Tolland,CT) | 76"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Marathon (Middlesex, MA) | 42980"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Marathon (Middlesex,MA) | 830"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Mendon | 205
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Middleboro (Plymouth,MA) | 29"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Middletown- Cromwell Fairfield, Ct | 819"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Milford (Worcester,MA) | 20"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Milford Power | 801
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Milford, CT. | 42461"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Mohegan Park (New London,CT) | 6"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Montville (New London,CT) | 59"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Morris (Morris,NJ) | 56"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Mystic (Middlesex,MA) | 826"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid - Crary Street-Providence,RI | 842"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,National Grid - West Roxbury | 838
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid- East Braintree (Norfolk,MA) | 23"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid- Everett (Middlesex,MA) | 27"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid- Norwood (Norfolk,MA) | 21"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Bourne (Barnstable,MA) | 18"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Medford (Middlesex,MA) | 80"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Polaroid (Middlesex,MA) | 80"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Ponkapoag (Norfolk,MA) | 52"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Potter St. (Norfolk,MA) | 81"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Rochester (Plymouth,MA) | 813"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Sagamore (Barnstable,MA) | 51"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Sandwich (Barnstable,MA) | 829"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Waltham (Middlesex,MA) | 32"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Wellesley (Norfolk,MA) | 74"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Weston (Middlesex,MA) | 57"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"National Grid-Weymouth (Norfolk,MA) | 827"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"New Bedford (Bristol,MA) | 17"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"New England Gas Company Fall River (Bristol,MA) | 16"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,New England Gas Company Fall River Gas-North Fall River Sta-(BRIST | 824
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"New England Gas Company No. Attleboro (Bristol,MA) | 34"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"New England Gas Company Swansea (Bristol,MA) | 71"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"New England Gas Company Westport (Bristol,MA) | 49"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Norfolk Meter Station (Norfolk,Ma) | 832"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,North Haven (New Haven) | 3
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"North Haven Low Pressure (New Haven,CT) | 807"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"North Somers (Westchester,NY) | 811"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Norwich | 218528
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Norwich Public Utilities-Oakland Heights, New London, CT | 000841"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Norwichtown (New London,CT) | 53"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"NRG Middletown, (Middlesex,CT) | 810"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"NSTAR-Assonet, Bristol Co, MA | 839"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Ocean St (Providence,RI) | 95"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Orange & Rockland | 218530
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Oxford (New Haven, CT) | 69"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Partroy (Morris,NJ) | 1"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Peekskill (Westchester,NY) | 41"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"PG&E Manchester St, (Providence,RI) | 87"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Phelps Dodge (New London,CT) | 822"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Philadelphia Gas Works - Point Breeze,PA | 19271"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Pinehills Meter - (Plymouth,MA) | 821"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Plymouth (Plymouth,MA) | 19"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Pomfret (Windham,CT) | 50"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Portland (Middlesex,CT) | 72"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Providence | 217824
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Putnam (Windham,CT) | 9"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Q-1 Extension | 80043
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Q-1 EXTENSION MAINLINE | 80042
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Ramapo (Rockland,NY) | 202"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Ramapo - Millennium (Rockland,NY) | 214"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Revere Power (Providence, RI) | 816"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Rhode Island Energy - E. Providence (PROVIDENCE,RI) | 10"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Rhode Island Energy - TIVERTON (NEWPORT,RI) | 33"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Rhode Island Energy - WARREN (BRISTOL,RI) | 12"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Rhode Island Energy -DEY ST. (PROVIDENCE,RI) | 4"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Rhode Island Energy- Portsmouth (NEWPORT,RI) | 13"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Rhode Island Energy-BARRINGTON (PROVIDENCE,RI) | 64"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Rhode Island Energy-Burrillville (PROVIDENCE,RI) | 44"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Rhode Island Energy-CUMBERLAND (PROVIDENCE,RI) | 83"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Rhode Island Energy-WESTERLY (WASHINGTON,RI) | 8"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Salem Essex Co., MA (Essex,MA) | 215"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Salem Essex Co., MA North (Essex,MA) | 1215"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Salem Harbor Station | 837
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Salem Lateral (Mainline) | 80106
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Salem Pike (Norwich, CT) | 35"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Sharon Station-(Norfolk,Ma) | 823"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Sherborn | 73
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Sigeco South Deduct | 398538
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Somers (Westchester) | 45
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"South Attleboro (Bristol, MA) | 37"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Southbury (New Haven,CT) | 79"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Southeast (Putnam,NY) | 84"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Southern Connecticut | 218527
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Southington (Hartford,CT) | 60"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Stonington (New London,CT) | 82"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Stony Point (Rockland,NY) | 40"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Storage Complex Inject | 220834
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Storage Complex Withdraw | 128355
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Suffern (Rockland,NY) | 39"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Taunton (Bristol, MA) | 11"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,TET - Chambersburg (PL1) | 153907
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Tetco - Hanover (Morris,NJ) | 14237"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,TETCO | 181152
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Thompsonville (Windham,CT) | 2899"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Tmpl (Bristol,MA) | 812"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Transylvania Louisiana | 8085
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Uconn Mansfield (Tolland,CT) | 828"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Vernon (Tolland,CT) | 62"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Wallingford Energy Interconnect (Fairfield,CT) | 820"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Waterbury (New Haven,CT) | 2"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Waterford (New London,CT) | 7"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"West Danbury (Fairfield,CT) | 835"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"West Medway (Norfolk,MA) | 36"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"West Medway-Edison (Norfolk,MA) | 242469"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,West Roxbury Lateral (Mainline) | 80105
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Westwood (Norfolk, MA) | 22"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Willimantic (New Haven, CT) | 5"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Woodland Rd (Norfolk,MA) | 61"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,Yankee | 218526
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Yantic (Hartford,CT) | 46"
"Algonquin Gas Transmission, LLC",Delivery,Entire System,"Yorktown (Westchester,NY) | 48"
Alliance Pipeline L.P.,Receipt,Entire System,Bantry | ND08
Alliance Pipeline L.P.,Receipt,Entire System,Border USA | UX
Alliance Pipeline L.P.,Receipt,Entire System,GARSL | 352446
Alliance Pipeline L.P.,Receipt,Entire System,GYCSL | 283539
Alliance Pipeline L.P.,Receipt,Entire System,Tioga | ND11
Alliance Pipeline L.P.,Receipt,Entire System,VEASL | 287416
Alliance Pipeline L.P.,Receipt,Entire System,Wlcsl | NULL
Alliance Pipeline L.P.,Delivery,Entire System,Alliance/ANR | IL05
Alliance Pipeline L.P.,Delivery,Entire System,Alliance/Rosholt | ND01
Alliance Pipeline L.P.,Delivery,Entire System,Aux Sable | IL09
Alliance Pipeline L.P.,Delivery,Entire System,GARSL | 352446
Alliance Pipeline L.P.,Delivery,Entire System,GARSL Guardian | IL10
Alliance Pipeline L.P.,Delivery,Entire System,GCTSL | 856718
Alliance Pipeline L.P.,Delivery,Entire System,Hankinson | ND07
Alliance Pipeline L.P.,Delivery,Entire System,Horizon | IL15
Alliance Pipeline L.P.,Delivery,Entire System,Jackson | IL17
Alliance Pipeline L.P.,Delivery,Entire System,Lyle | IA06
Alliance Pipeline L.P.,Delivery,Entire System,Midwestern Gas Transmission | IL03
