Year,State,Company,"Residential Natural Gas Volume, Bundled (Mcf)","Commercial Natural Gas Volume, Bundled (Mcf)","Industrial Natural Gas Volume, Bundled (Mcf)","Electric Power Natural Gas Volume, Bundled (Mcf)","Vehicle Fuel Natural Gas Volume, Bundled (Mcf)","Other Natural Gas Volume, Bundled (Mcf)","Total End User Natural Gas Volume, Bundled (Mcf)","Residential Natural Gas Volume, Delivery Only (Mcf)","Commercial Natural Gas Volume, Delivery Only (Mcf)","Industrial Natural Gas Volume, Delivery Only (Mcf)","Electric Power Natural Gas Volume, Delivery Only (Mcf)","Vehicle Fuel Natural Gas Volume, Delivery Only (Mcf)","Other Natural Gas Volume, Delivery Only (Mcf)","Total End User Natural Gas Volume, Delivery Only (Mcf)",Residential Natural Gas Volume (Mcf),Commercial Natural Gas Volume (Mcf),Industrial Natural Gas Volume (Mcf),Electric Power Natural Gas Volume (Mcf),Vehicle Fuel Natural Gas Volume (Mcf),Other Natural Gas Volume (Mcf),Total End User Natural Gas Volume (Mcf),"Residential Natural Gas Revenue, Bundled ($000)","Commercial Natural Gas Revenue, Bundled ($000)","Industrial Natural Gas Revenue, Bundled ($000)","Electric Power Natural Gas Revenue, Bundled ($000)","Vehicle Fuel Natural Gas Revenue, Bundled ($000)","Other Natural Gas Revenue, Bundled ($000)","Total End User Natural Gas Revenue, Bundled ($000)","Residential Natural Gas Customers, Bundled (actual)","Commercial Natural Gas Customers, Bundled (actual)","Industrial Natural Gas Customers, Bundled (actual)","Electric Power Natural Gas Customers, Bundled (actual)","Vehicle Fuel Natural Gas Customers, Bundled (actual)","Other Natural Gas Customers, Bundled (actual)","Total End User Natural Gas Customers, Bundled (actual)","Residential Natural Gas Customers, Delivery Only (actual)","Commercial Natural Gas Customers, Delivery Only (actual)","Industrial Natural Gas Customers, Delivery Only (actual)","Electric Power Natural Gas Customer, Delivery Only (actual)","Vehicle Fuel Natural Gas Customers, Delivery Only (actual)","Other Natural Gas Customers, Delivery Only (actual)","Total End User Natural Gas Customer, Delivery Only (actual)",Residential Natural Gas Customers (actual),Commercial Natural Gas Customers (actual),Industrial Natural Gas Customers (actual),Electric Power Natural Gas Customers (actual),Vehicle Fuel Natural Gas Customers (actual),Other Natural Gas Customers (actual),Total End User Natural Gas Customers (actual)
2018,TX,"El Paso Field Services, L.L.C.",0,0,0,0,0,0,0,0,0,149905717,22790688,0,0,172696405,0,0,149905717,22790688,0,0,172696405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,30,0,0,25,5,0,0,30
2017,TX,"El Paso Field Services, L.L.C.",0,0,0,0,0,0,0,0,0,137530693,22967037,0,0,160497730,0,0,137530693,22967037,0,0,160497730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,27,0,0,22,5,0,0,27
2021,TX,El Paso LLC,0,0,0,0,0,0,0,0,3930258,208168001,165407193,0,0,377505452,0,3930258,208168001,165407193,0,0,377505452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,77,15,0,0,113,0,21,77,15,0,0,113
2020,TX,El Paso LLC,0,0,0,0,0,0,0,0,4114089,201363169,161244931,0,0,366722189,0,4114089,201363169,161244931,0,0,366722189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,78,14,0,0,110,0,18,78,14,0,0,110
2019,AL,El Paso LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,TX,El Paso LLC,0,0,0,0,0,0,0,0,6000478,178316834,170105650,0,0,354422962,0,6000478,178316834,170105650,0,0,354422962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,80,14,0,0,109,0,15,80,14,0,0,109
2018,AL,El Paso LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,TX,El Paso LLC,0,0,0,0,0,0,0,0,2623077,169948068,161481696,0,0,334052841,0,2623077,169948068,161481696,0,0,334052841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,81,15,0,0,108,0,12,81,15,0,0,108
2017,AL,El Paso LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,TX,El Paso LLC,0,0,0,0,0,0,0,0,356298,148291215,141370163,0,0,290017676,0,356298,148291215,141370163,0,0,290017676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,83,14,0,0,103,0,6,83,14,0,0,103
2021,AZ,"El Paso Natural Gas Company, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,CA,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,CO,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,NM,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,1428187,48439578,0,0,49867765,0,0,1428187,48439578,0,0,49867765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,8,0,0,3,5,0,0,8
2021,OK,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,TX,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,5944533,55253447,0,0,61197980,0,0,5944533,55253447,0,0,61197980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,0,0,6,3,0,0,9
2020,AZ,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,5870368,237199921,0,0,243070289,0,0,5870368,237199921,0,0,243070289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,19,0,0,10,9,0,0,19
2020,CA,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,CO,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,NM,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,1053179,64360644,0,0,65413823,0,0,1053179,64360644,0,0,65413823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,8,0,0,3,5,0,0,8
2020,OK,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,TX,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,4413287,73224446,0,0,77637733,0,0,4413287,73224446,0,0,77637733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,0,0,6,3,0,0,9
2019,AZ,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,6430938,210354866,0,0,216785804,0,0,6430938,210354866,0,0,216785804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,19,0,0,10,9,0,0,19
2019,CA,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CO,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,NM,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,848738,65291792,0,0,66140530,0,0,848738,65291792,0,0,66140530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,8,0,0,3,5,0,0,8
2019,OK,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,TX,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,6143596,79247634,0,0,85391230,0,0,6143596,79247634,0,0,85391230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,0,0,6,3,0,0,9
2018,AZ,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,5867003,195012572,0,0,200879575,0,0,5867003,195012572,0,0,200879575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,18,0,0,8,10,0,0,18
2018,CA,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CO,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,NM,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,1117539,60914041,0,0,62031580,0,0,1117539,60914041,0,0,62031580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,8,0,0,3,5,0,0,8
2018,OK,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,TX,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,5420857,81213375,0,0,86634232,0,0,5420857,81213375,0,0,86634232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,0,0,6,3,0,0,9
2017,AZ,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,5218536,160173555,0,0,165392091,0,0,5218536,160173555,0,0,165392091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,18,0,0,8,10,0,0,18
2017,CA,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CO,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NM,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,275271,46530682,0,0,46805953,0,0,275271,46530682,0,0,46805953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,8,0,0,3,5,0,0,8
2017,OK,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,TX,"El Paso Natural Gas Company, LLC",0,0,0,0,0,0,0,0,0,2926162,50902490,0,0,53828652,0,0,2926162,50902490,0,0,53828652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,0,0,5,3,0,0,8
2021,KY,"Elam Utility Company, Inc.",10893,22962,31967,0,0,0,65822,0,0,0,0,0,0,0,10893,22962,31967,0,0,0,65822,162,402,392,0,0,0,957,260,91,5,0,0,0,356,0,0,0,0,0,0,0,260,91,5,0,0,0,356
2020,KY,"Elam Utility Company, Inc.",9738,21131,33706,0,0,0,64575,0,0,0,0,0,0,0,9738,21131,33706,0,0,0,64575,129,333,315,0,0,0,777,310,60,4,0,0,0,374,0,0,0,0,0,0,0,310,60,4,0,0,0,374
2019,KY,"Elam Utility Company, Inc.",13025,16110,36012,0,0,0,65147,0,0,0,0,0,0,0,13025,16110,36012,0,0,0,65147,129,333,315,0,0,0,777,269,110,5,0,0,0,384,0,0,0,0,0,0,0,269,110,5,0,0,0,384
2018,KY,"Elam Utility Company, Inc.",13537,25508,36592,0,0,0,75637,0,0,0,0,0,0,0,13537,25508,36592,0,0,0,75637,147,376,305,0,0,0,827,262,108,5,0,0,0,375,0,0,0,0,0,0,0,262,108,5,0,0,0,375
2017,KY,"Elam Utility Company, Inc.",21100,25006,48875,0,0,0,94981,0,0,0,0,0,0,0,21100,25006,48875,0,0,0,94981,109,265,252,0,0,0,627,312,102,1,0,0,0,415,0,0,0,0,0,0,0,312,102,1,0,0,0,415
2021,GA,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,29810252,0,0,29810252,0,0,0,29810252,0,0,29810252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2
2021,SC,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,GA,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,45563548,0,0,45563548,0,0,0,45563548,0,0,45563548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2
2020,SC,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,GA,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,34936007,0,0,34936007,0,0,0,34936007,0,0,34936007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2
2019,SC,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,GA,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,33858396,0,0,33858396,0,0,0,33858396,0,0,33858396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2
2018,SC,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,GA,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,24241811,0,0,24241811,0,0,0,24241811,0,0,24241811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2
2017,SC,"Elba Express Company, L.L.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,GA,Elberton City of,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,GA,Elberton City of,131363,123197,88871,0,0,0,343431,0,0,0,0,0,0,0,131363,123197,88871,0,0,0,343431,1864,1375,402,0,0,0,3640,3354,539,5,0,0,0,3898,0,0,0,0,0,0,0,3354,539,5,0,0,0,3898
2019,GA,Elberton City of,142188,113942,126162,0,0,0,382292,0,0,0,0,0,0,0,142188,113942,126162,0,0,0,382292,2128,1359,616,0,0,0,4102,3346,539,52,0,0,0,3937,0,0,0,0,0,0,0,3346,539,52,0,0,0,3937
2018,GA,Elberton City of,155807,116947,110180,0,0,0,382934,0,0,0,0,0,0,0,155807,116947,110180,0,0,0,382934,2237,1389,603,0,0,0,4229,3351,550,52,0,0,0,3953,0,0,0,0,0,0,0,3351,550,52,0,0,0,3953
2017,GA,Elberton City of,135137,97224,100274,0,0,0,332635,0,0,0,0,0,0,0,135137,97224,100274,0,0,0,332635,1872,1114,573,0,0,0,3559,3360,501,52,0,0,0,3913,0,0,0,0,0,0,0,3360,501,52,0,0,0,3913
2021,TX,Eldorado Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,TX,Eldorado Texas,17272,2830,6232,0,0,0,26334,0,0,0,0,0,0,0,17272,2830,6232,0,0,0,26334,242,37,69,0,0,0,349,466,36,46,0,0,0,548,0,0,0,0,0,0,0,466,36,46,0,0,0,548
2019,TX,Eldorado Texas,20400,13310,8079,0,0,0,41789,0,0,0,0,0,0,0,20400,13310,8079,0,0,0,41789,263,40,82,0,0,0,386,478,37,45,0,0,0,560,0,0,0,0,0,0,0,478,37,45,0,0,0,560
2018,TX,Eldorado Texas,35953,15094,11612,0,0,0,62659,0,0,0,0,0,0,0,35953,15094,11612,0,0,0,62659,351,53,129,0,0,0,533,486,38,45,0,0,0,569,0,0,0,0,0,0,0,486,38,45,0,0,0,569
2017,TX,Eldorado Texas,24139,10517,7585,0,0,0,42241,0,0,0,0,0,0,0,24139,10517,7585,0,0,0,42241,226,45,77,0,0,0,348,460,37,47,0,0,0,544,0,0,0,0,0,0,0,460,37,47,0,0,0,544
2021,LA,"Elizabeth, Town of (LA)",7226,66492,323498,0,0,0,397216,0,0,0,0,0,0,0,7226,66492,323498,0,0,0,397216,94,565,1529,0,0,0,2188,227,63,1,0,0,0,291,0,0,0,0,0,0,0,227,63,1,0,0,0,291
2020,LA,"Elizabeth, Town of (LA)",10851,64277,359172,0,0,0,434300,0,0,0,0,0,0,0,10851,64277,359172,0,0,0,434300,110,396,1005,0,0,0,1511,219,59,1,0,0,0,279,0,0,0,0,0,0,0,219,59,1,0,0,0,279
2019,LA,"Elizabeth, Town of (LA)",7254,43984,403699,0,0,0,454937,0,0,0,0,0,0,0,7254,43984,403699,0,0,0,454937,79,265,1380,0,0,0,1725,195,55,1,0,0,0,251,0,0,0,0,0,0,0,195,55,1,0,0,0,251
2018,LA,"Elizabeth, Town of (LA)",10056,100529,399687,0,0,0,510272,0,0,0,0,0,0,0,10056,100529,399687,0,0,0,510272,107,424,1666,0,0,0,2197,197,11,1,0,0,0,209,0,0,0,0,0,0,0,197,11,1,0,0,0,209
2017,LA,"Elizabeth, Town of (LA)",6533,53030,399687,0,0,0,459250,0,0,0,0,0,0,0,6533,53030,399687,0,0,0,459250,62,395,1666,0,0,0,2123,203,10,1,0,0,0,214,0,0,0,0,0,0,0,203,10,1,0,0,0,214
2021,NJ,Elizabethtown Gas Company,22064346,7020092,690571,0,4522,0,29779531,327117,6322095,10904418,824274,0,0,18377904,22391463,13342187,11594989,824274,4522,0,48157435,226291,76628,5961,0,70,0,308951,274296,19570,17,0,32,0,293915,4739,3991,82,1,0,0,8813,279035,23561,99,1,32,0,302728
2020,NJ,Elizabethtown Gas Company,21254526,6047695,660549,0,3327,0,27966097,358643,6585437,10823847,196582,0,0,17964509,21613169,12633132,11484396,196582,3327,0,45930606,222998,60486,4603,0,42,0,288130,270811,19247,14,0,22,0,290094,4781,4206,84,1,0,0,9072,275592,23453,98,1,22,0,299166
2019,NJ,Elizabethtown Gas Company,22957608,7557987,412995,0,4778,0,30933368,333373,6618474,11324865,148160,0,0,18424872,23290981,14176461,11737860,148160,4778,0,49358240,215415,65096,2825,0,66,0,283402,267614,18907,10,0,7,0,286538,3999,4253,86,1,0,0,8339,271613,23160,96,1,7,0,294877
2018,NJ,Elizabethtown Gas Company,23051585,7123594,295921,0,14672,0,30485772,321679,7486146,11822807,140929,0,0,19771561,23373264,14609740,12118728,140929,14672,0,50257333,204909,60908,2586,0,205,0,268608,265261,18590,8,0,7,0,283866,3460,4468,86,1,0,0,8015,268721,23058,94,1,7,0,291881
2017,NJ,Elizabethtown Gas Company,21654068,6838144,329577,1938569,12395,0,30772753,364837,6269148,10826015,195199,0,0,17655199,22018905,13107292,11155592,2133768,12395,0,48427952,183924,61221,3734,8251,190,0,257320,261454,18290,8,1,6,0,279759,4299,4625,85,1,0,0,9010,265753,22915,93,2,6,0,288769
2021,KY,Elizabethtown Kentucky,476674,0,919505,0,0,0,1396179,0,0,0,0,0,0,0,476674,0,919505,0,0,0,1396179,2558,0,0,0,0,0,2558,6583,0,0,0,0,0,6583,0,0,0,0,0,0,0,6583,0,0,0,0,0,6583
2020,KY,Elizabethtown Kentucky,442114,468885,864429,0,0,0,1775428,0,0,0,0,0,0,0,442114,468885,864429,0,0,0,1775428,1828,1941,2699,0,0,0,6468,6574,1719,11,0,0,0,8304,0,0,0,0,0,0,0,6574,1719,11,0,0,0,8304
2019,KY,Elizabethtown Kentucky,477382,530432,980248,0,0,0,1988062,0,0,0,0,0,0,0,477382,530432,980248,0,0,0,1988062,2551,2732,3544,0,0,0,8827,6609,1719,11,0,0,0,8339,0,0,0,0,0,0,0,6609,1719,11,0,0,0,8339
2018,KY,Elizabethtown Kentucky,530260,558044,871708,0,0,0,1960012,0,0,0,0,0,0,0,530260,558044,871708,0,0,0,1960012,2796,2927,3419,0,0,0,9142,6633,1782,11,0,0,0,8426,0,0,0,0,0,0,0,6633,1782,11,0,0,0,8426
2017,KY,Elizabethtown Kentucky,439658,434991,868065,0,0,0,1742714,0,0,0,0,0,0,0,439658,434991,868065,0,0,0,1742714,2782,2398,3311,0,0,0,8490,6633,1782,12,0,0,0,8427,0,0,0,0,0,0,0,6633,1782,12,0,0,0,8427
2021,TN,Elk River Public Utility District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,TN,Elk River Public Utility District,663332,1089851,743876,0,0,0,2497059,0,0,0,0,0,0,0,663332,1089851,743876,0,0,0,2497059,7110,7245,3240,0,0,0,17595,14336,2248,30,0,0,0,16614,0,0,0,0,0,0,0,14336,2248,30,0,0,0,16614
2019,TN,Elk River Public Utility District,707149,1155594,838583,0,0,0,2701326,0,0,0,0,0,0,0,707149,1155594,838583,0,0,0,2701326,8168,8847,4523,0,0,0,21539,14002,2234,31,0,0,0,16267,0,0,0,0,0,0,0,14002,2234,31,0,0,0,16267
2018,TN,Elk River Public Utility District,769925,1237197,852390,0,0,0,2859512,0,0,0,0,0,0,0,769925,1237197,852390,0,0,0,2859512,8248,9491,4523,0,0,0,22261,13670,2226,31,0,0,0,15927,0,0,0,0,0,0,0,13670,2226,31,0,0,0,15927
2017,TN,Elk River Public Utility District,573007,1019377,751012,0,0,0,2343396,0,0,0,0,0,0,0,573007,1019377,751012,0,0,0,2343396,6891,8202,4295,0,0,0,19388,13429,2206,30,0,0,0,15665,0,0,0,0,0,0,0,13429,2206,30,0,0,0,15665
2021,MD,Elkton Gas Company,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,MD,Elkton Gas Company,159837,120627,57794,0,0,0,338258,0,18207,422864,0,0,0,441071,159837,138834,480658,0,0,0,779329,2140,1262,548,0,0,0,3950,6313,534,8,0,0,0,6855,0,13,21,0,0,0,34,6313,547,29,0,0,0,6889
2019,MD,Elkton Gas Company,283677,228031,83195,0,0,0,594903,0,31283,612054,0,0,0,643337,283677,259314,695249,0,0,0,1238240,3584,2221,756,0,0,0,6561,6136,515,8,0,0,0,6659,0,13,20,0,0,0,33,6136,528,28,0,0,0,6692
2018,MD,Elkton Gas Company,286395,205046,87783,0,0,0,579224,0,30631,573669,0,0,0,604300,286395,235677,661452,0,0,0,1183524,3534,2029,672,0,0,0,6235,6025,518,8,0,0,0,6551,0,13,20,0,0,0,33,6025,531,28,0,0,0,6584
2017,MD,Elkton Gas Company,266673,204542,89788,0,0,0,561003,0,29501,493209,0,0,0,522710,266673,234043,582997,0,0,0,1083713,3350,1959,886,0,0,0,6195,6045,521,9,0,0,0,6575,0,12,19,0,0,0,31,6045,533,28,0,0,0,6606
2021,WA,Ellensburg City of,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,WA,Ellensburg City of,230733,457564,25372,0,0,0,713669,0,0,0,0,0,0,0,230733,457564,25372,0,0,0,713669,3056,3037,163,0,0,0,6257,3988,776,1,0,0,0,4765,0,0,0,0,0,0,0,3988,776,1,0,0,0,4765
2019,WA,Ellensburg City of,257651,525059,28691,0,0,0,811401,0,0,0,0,0,0,0,257651,525059,28691,0,0,0,811401,3271,4058,204,0,0,0,7533,3975,771,1,0,0,0,4747,0,0,0,0,0,0,0,3975,771,1,0,0,0,4747
2018,WA,Ellensburg City of,224958,476623,26531,0,0,0,728112,0,0,0,0,0,0,0,224958,476623,26531,0,0,0,728112,2674,3236,190,0,0,0,6101,3959,762,1,0,0,0,4722,0,0,0,0,0,0,0,3959,762,1,0,0,0,4722
2017,WA,Ellensburg City of,256727,537303,23744,0,0,0,817774,0,0,0,0,0,0,0,256727,537303,23744,0,0,0,817774,3004,3934,176,0,0,0,7114,3903,761,1,0,0,0,4665,0,0,0,0,0,0,0,3903,761,1,0,0,0,4665
2021,IA,Emmetsburg Municipal Utilities,92591,97703,908,0,0,0,191202,0,0,0,0,0,0,0,92591,97703,908,0,0,0,191202,1041,977,7,0,0,0,2025,1361,275,2,0,0,0,1638,0,0,0,0,0,0,0,1361,275,2,0,0,0,1638
2020,IA,Emmetsburg Municipal Utilities,98846,103413,2146,0,0,0,204405,0,0,0,0,0,0,0,98846,103413,2146,0,0,0,204405,722,647,12,0,0,0,1381,1365,273,2,0,0,0,1640,0,0,0,0,0,0,0,1365,273,2,0,0,0,1640
