Quarter,Pipeline,Total Daily Transportation (DTH),Monthly Est. Transportation Reservation Revenue ($),Total Storage (DTH),Monthly Estimated Storage Reservation Revenue ($),Average Contract Length (Months),Active Contracts
Q2 2022,Texas Eastern Transmission LP,15096654,31971195,71992173,699574257,106,519
Q2 2022,Texas Gas Transmission LLC,5147756,29226259,66060155,50737300,102,279
Q2 2022,Trailblazer Pipeline Company LLC,1309958,8610936,0,NA,111,70
Q2 2022,Trans-Union Interstate Pipeline LP,470000,773385,0,NA,181,4
Q2 2022,TransColorado Gas Transmission Company LLC,365550,3406707,0,NA,40,5
Q2 2022,Transcontinental Gas Pipe Line Company LLC,18493959,71075300,190090030,9975299,174,635
Q2 2022,Transwestern Pipeline Company LLC,2027127,12211943,0,NA,53,75
Q2 2022,Tres Palacios Gas Storage LLC,0,NA,32631484,NA,18,44
Q2 2022,Trunkline Gas Company LLC,3767121,6910705,4029945,11132751,91,113
Q2 2022,Tuscarora Gas Transmission Company,248584,1822245,0,NA,253,24
Q2 2022,UGI LNG Inc,10000,NA,10000,NA,97,1
Q2 2022,UGI Mt. Bethel Pipeline Company LLC,72000,NA,0,NA,239,1
Q2 2022,UGI Storage Company,0,NA,88002,NA,31,9
Q2 2022,UGI Sunbury LLC,200000,NA,0,NA,275,2
Q2 2022,USG Pipeline Company LLC,9200,NA,0,NA,156,2
Q2 2022,Vector Pipeline L.P.,3152248,11198607,0,NA,132,57
Q2 2022,Venice Gathering System L.L.C.,222584,NA,0,NA,403,10
Q2 2022,Viking Gas Transmission Company,614802,2397230,0,NA,163,109
Q2 2022,WBI Energy Transmission Inc.,1930827,3080857,12673107,297438,87,69
Q2 2022,WestGas InterState Inc.,8000,NA,0,NA,6,2
Q2 2022,White River Hub LLC,2400000,748392,0,NA,170,3
Q2 2022,WTG Hugoton L.P.,54100,NA,0,NA,183,3
Q2 2022,Wyoming Interstate Company L.L.C.,3246730,39044607,0,NA,84,54
Q2 2022,Young Gas Storage Company Ltd.,0,NA,6374843,10048793,343,2
Q1 2022,Adelphia Gateway LLC,525000,NA,0,NA,120,4
Q1 2022,Algonquin Gas Transmission LLC,5412793,35662092,0,NA,86,159
Q1 2022,Alliance Pipeline L.P.,1953850,15279104,0,NA,46,62
Q1 2022,ANR Pipeline Company,11250574,62743024,186564366,NA,122,684
Q1 2022,ANR Storage Company,0,0,57240360,NA,101,20
Q1 2022,Arlington Storage Company LLC,90000,NA,15564422,NA,38,23
Q1 2022,BBT (AlaTenn) LLC,116289,296619,0,NA,109,19
Q1 2022,BBT (Midla) LLC,27025,10722,0,NA,114,6
Q1 2022,Big Sandy Pipeline LLC,137721,2378773,0,NA,198,2
Q1 2022,Blue Lake Gas Storage Company,0,NA,48000000,27480000,143,5
Q1 2022,Bluewater Gas Storage LLC,0,NA,32298510,NA,33,56
Q1 2022,Boardwalk Storage Co LLC,0,NA,6700000,NA,24,10
Q1 2022,Bobcat Storage,0,NA,23542200,NA,34,20
Q1 2022,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q1 2022,Caledonia Energy Partners LLC,0,NA,7550000,NA,33,5
Q1 2022,Cameron Interstate Pipeline LLC,1559730,2042935,0,NA,144,7
Q1 2022,Chandeleur Pipe Line LLC,10000,120604,0,NA,26,1
Q1 2022,Cheniere Creole Trail Pipeline L.P.,1530000,NA,0,NA,257,1
Q1 2022,Cheyenne Connector LLC,600000,NA,0,NA,120,2
Q1 2022,Cheyenne Plains Gas Pipeline Company LLC,726840,5152666,0,NA,49,22
Q1 2022,Cimarron River Pipeline LLC,254320,79778,0,NA,79,2
Q1 2022,Colorado Interstate Gas Company L.L.C.,5540552,18941920,41981991,82790195,174,147
Q1 2022,Columbia Gas Transmission LLC,16142966,142610423,257249022,NA,168,637
Q1 2022,Columbia Gulf Transmission LLC,5527173,25575320,0,NA,128,92
Q1 2022,Corpus Christi Pipeline,2805000,7902246,0,NA,142,2
Q1 2022,Crossroads Pipeline Company,93135,305475,0,NA,55,10
Q1 2022,Dauphin Island Gathering Partners,37530,NA,0,NA,6,8
Q1 2022,Destin Pipeline Company L.L.C.,443118,2493250,0,NA,965,61
Q1 2022,Discovery Gas Transmission LLC,375703,NA,0,NA,2,59
Q1 2022,Dominion Energy Carolina Gas Transmission LLC,920474,4167383,0,NA,86,82
Q1 2022,Dominion Energy Cove Point LNG LP,3061999,40145456,7822500,NA,249,29
Q1 2022,East Cheyenne Gas Storage LLC,0,NA,6000000,NA,28,7
Q1 2022,East Tennessee Natural Gas LLC,2018334,21144850,1090043,NA,103,186
Q1 2022,Eastern Gas Transmission and Storage Inc,8724627,25955400,303803335,2206293,199,418
Q1 2022,Egan Hub Storage LLC,0,NA,21850000,NA,29,18
Q1 2022,El Paso Natural Gas Company L.L.C.,8457986,51108178,0,NA,123,232
Q1 2022,Elba Express Company L.L.C.,2070197,8517103,0,NA,155,23
Q1 2022,Empire Pipeline Inc.,984051,2461655,3753090,173393,100,16
Q1 2022,Enable Gas Transmission LLC,4605962,36211589,15355120,NA,74,762
Q1 2022,Enable Mississippi River Transmission LLC,1555388,4149223,27250818,NA,250,89
Q1 2022,Equitrans L.P.,4544403,25847225,28242669,247047,115,59
Q1 2022,ETC Tiger Pipeline LLC,1775000,8466005,0,NA,21,23
Q1 2022,Florida Gas Transmission Company LLC,5404190,17664369,0,NA,283,192
Q1 2022,Florida Southeast Connection LLC,905000,NA,0,NA,288,3
Q1 2022,Freebird Gas Storage LLC,0,NA,4250000,NA,26,4
Q1 2022,Garden Banks Gas Pipeline LLC,109994,NA,0,NA,NA,13
Q1 2022,Gas Transmission Northwest LLC,3270426,NA,0,NA,209,137
Q1 2022,Golden Pass Pipeline LLC,2600910,2813413,0,NA,300,3
Q1 2022,Golden Triangle Storage Inc,165000,NA,11500000,NA,23,16
Q1 2022,Granite State Gas Transmission Inc.,136200,9727,0,NA,11,3
Q1 2022,Great Lakes Gas Transmission Limited Partnership,3961751,27326012,0,NA,76,109
Q1 2022,Guardian Pipeline L.L.C.,2383125,7672672,0,NA,104,33
Q1 2022,Gulf South Pipeline Company LP,11730990,83345016,66967970,NA,418,259
Q1 2022,Gulfstream Natural Gas System L.L.C.,1370000,NA,0,NA,218,18
Q1 2022,Hardy Storage Company LLC,0,NA,12361000,NA,174,3
Q1 2022,Honeoye Storage Corporation,0,NA,2176000,NA,25,10
Q1 2022,Horizon Pipeline Company L.L.C.,380000,1258560,0,NA,180,2
Q1 2022,Iroquois Gas Transmission System L.P.,1762670,11558652,0,NA,132,90
Q1 2022,Kern River Gas Transmission Company,3797591,36447233,0,NA,72,128
Q1 2022,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,71,1
Q1 2022,Kinder Morgan Louisiana Pipeline LLC,1640000,1101600,0,NA,71,4
Q1 2022,Kinetica Partners LLC,29447,322445,0,NA,381,4
Q1 2022,KPC Pipeline LLC,94754,630778,0,NA,50,9
Q1 2022,Leaf River Energy Center LLC,0,NA,26059117,NA,54,9
Q1 2022,Maritimes & Northeast Pipeline L.L.C.,1084226,9887186,0,NA,155,13
Q1 2022,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q1 2022,MarkWest Pioneer LLC,441000,NA,0,NA,9,7
Q1 2022,Midcontinent Express Pipeline LLC,1280000,24087825,0,NA,16,27
Q1 2022,Midship Pipeline Company LLC,690000,NA,0,NA,119,4
Q1 2022,Midwestern Gas Transmission Company,1414648,3694750,0,NA,171,52
Q1 2022,MIGC LLC,65121,201966,0,NA,86,9
Q1 2022,Millennium Pipeline Company LLC,2410969,38313521,0,NA,102,56
Q1 2022,Mississippi Canyon Gas Pipeline LLC,123807,30283,0,NA,NA,16
Q1 2022,Mississippi Hub LLC,0,NA,15500000,NA,41,14
Q1 2022,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,194,3
Q1 2022,Monroe Gas Storage Company LLC,0,NA,5250000,NA,29,7
Q1 2022,MountainWest Overthrust Pipeline LLC,2037133,2801975,0,NA,61,45
Q1 2022,MountainWest Pipeline LLC,2629173,12686536,54486118,6791472,157,105
Q1 2022,National Fuel Gas Supply Corporation,2988144,7627143,66940115,3028282,96,144
Q1 2022,National Grid LNG LLC,0,NA,2259664,NA,239,3
Q1 2022,Natural Gas Pipeline Company of America LLC,10899837,NA,266937200,NA,49,377
Q1 2022,Nautilus Pipeline Company L.L.C.,405663,1621857,0,NA,NA,53
Q1 2022,Nexus,1685505,37115550,0,NA,59,34
Q1 2022,NGO Transmission Inc.,76773,NA,43260,NA,229,1
Q1 2022,North Baja Pipeline LLC,981800,3501660,0,NA,177,17
Q1 2022,Northern Border Pipeline Company,4083335,NA,0,NA,105,186
Q1 2022,Northern Natural Gas Company,21236554,65665297,128418252,144683237,84,1286
Q1 2022,Northwest Pipeline LLC,5302021,40997191,8836002,NA,243,224
Q1 2022,OkTex Pipeline Company L.L.C.,25552,3639243,0,NA,151,5
Q1 2022,Ozark Gas Transmission L.L.C.,151580,1202029,0,NA,80,10
Q1 2022,Paiute Pipeline Company,301752,NA,949872,NA,213,29
Q1 2022,Panhandle Eastern Pipe Line Company LP,3690839,803995,40552553,12706,232,207
Q1 2022,Perryville Gas Storage LLC,0,NA,7000000,NA,33,6
Q1 2022,PGPipeline LLC,11200,NA,0,NA,71,1
Q1 2022,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q1 2022,Pine Prairie Energy Center LLC,0,NA,53599500,NA,35,37
Q1 2022,Portland General Electric Company,159726,NA,0,NA,228,1
Q1 2022,Portland Natural Gas Transmission System LP,396105,29848256,0,NA,196,23
Q1 2022,PPG Shawville Pipeline LLC,277000,NA,0,NA,58,2
Q1 2022,Rendezvous Pipeline Company LLC,240000,NA,0,NA,164,3
Q1 2022,Rh Energytrans Llc,40000,NA,0,NA,179,1
Q1 2022,Rockies Express Pipeline LLC,6214775,142319662,0,NA,66,97
Q1 2022,Rover Pipeline LLC,3476200,6853778,0,NA,69,24
Q1 2022,Ruby Pipeline LLC,642800,22229697,0,NA,53,14
Q1 2022,Sabal Trail Transmission LLC,983000,50420884,0,NA,155,4
Q1 2022,Sabine Pipe Line LLC,303030,3825117,0,NA,240,1
Q1 2022,Saltville Gas Storage Company LLC,0,NA,4957440,538451,59,43
Q1 2022,Sea Robin Pipeline Company LLC,41974,345670,0,NA,123,4
Q1 2022,SG Resources Mississippi LLC,0,NA,16375000,NA,37,14
Q1 2022,Sierrita Gas Pipeline LLC,431100,6423778,0,NA,261,1
Q1 2022,Southeast Supply Header LLC.,599700,3265907,0,NA,116,10
Q1 2022,Southern LNG Company LLC,0,NA,11761920,NA,267,3
Q1 2022,Southern Natural Gas Company L.L.C.,4759707,28258424,53092011,1268900,193,599
Q1 2022,Southern Star Central Gas Pipeline Inc.,4054755,20707254,44425693,221556,167,315
Q1 2022,Southwest Gas Storage Company,0,NA,57117890,NA,35,2
Q1 2022,Spire Storage West LLC,0,NA,27084800,NA,9,197
Q1 2022,Stagecoach Pipeline and Storage Company LLC,2556438,NA,28560510,NA,44,56
Q1 2022,Steckman Ridge LP,0,NA,8050000,NA,25,5
Q1 2022,Stingray Pipeline Company L.L.C.,3819,88792,0,NA,NA,7
Q1 2022,Tallgrass Interstate Gas Transmission LLC,682733,3904786,10297942,4686,73,77
Q1 2022,Tennessee Gas Pipeline Company L.L.C.,15174839,36943435,82227415,1124250,263,672
Q1 2022,Texas Eastern Transmission LP,15178025,19449283,71992173,468250185,108,517
Q1 2022,Texas Gas Transmission LLC,6049916,34691170,62303655,44091200,102,270
Q1 2022,Trailblazer Pipeline Company LLC,1466001,9815276,0,NA,113,71
Q1 2022,Trans-Union Interstate Pipeline LP,470000,773385,0,NA,181,4
Q1 2022,TransColorado Gas Transmission Company LLC,476550,4441160,0,NA,22,9
Q1 2022,Transcontinental Gas Pipe Line Company LLC,18311275,66963000,190090030,7823899,174,634
Q1 2022,Transwestern Pipeline Company LLC,3194877,26572605,0,NA,40,95
Q1 2022,Tres Palacios Gas Storage LLC,0,NA,33248175,NA,13,42
Q1 2022,Trunkline Gas Company LLC,4180104,9220337,4029945,11132751,85,120
Q1 2022,Tuscarora Gas Transmission Company,251584,1844236,0,NA,252,24
Q1 2022,UGI LNG Inc,10000,NA,10000,NA,97,1
Q1 2022,UGI Mt. Bethel Pipeline Company LLC,72000,NA,0,NA,239,1
Q1 2022,UGI Storage Company,0,NA,88002,NA,23,9
Q1 2022,UGI Sunbury LLC,200000,NA,0,NA,275,2
Q1 2022,USG Pipeline Company LLC,9200,NA,0,NA,156,2
Q1 2022,Vector Pipeline L.P.,3236527,11717027,0,NA,125,60
Q1 2022,Venice Gathering System L.L.C.,222584,NA,0,NA,403,10
Q1 2022,Viking Gas Transmission Company,628840,2444890,0,NA,157,110
Q1 2022,WBI Energy Transmission Inc.,1827301,3353215,14220857,333764,84,70
Q1 2022,WestGas InterState Inc.,8000,NA,0,NA,6,2
Q1 2022,White River Hub LLC,2400000,748392,0,NA,170,3
Q1 2022,WTG Hugoton L.P.,54100,161230,0,NA,183,3
Q1 2022,Wyoming Interstate Company L.L.C.,3462587,44501166,0,NA,74,58
Q1 2022,Young Gas Storage Company Ltd.,0,NA,6374843,20124104,343,2
Q4 2021,Algonquin Gas Transmission LLC,4957901,33532090,0,NA,89,153
Q4 2021,Alliance Pipeline L.P.,1838492,17374672,0,NA,64,62
Q4 2021,ANR Pipeline Company,8176110,40190825,186530877,NA,129,655
Q4 2021,ANR Storage Company,0,0,57240360,NA,99,20
Q4 2021,Arlington Storage Company LLC,90000,NA,15131448,NA,28,29
Q4 2021,BBT (AlaTenn) LLC,104502,189356,0,NA,109,19
Q4 2021,BBT (Midla) LLC,26725,10722,0,NA,114,6
Q4 2021,Big Sandy Pipeline LLC,137721,2378773,0,NA,198,2
Q4 2021,Blue Lake Gas Storage Company,0,NA,48000000,27480000,143,5
Q4 2021,Bluewater Gas Storage LLC,0,NA,31786010,NA,36,51
Q4 2021,Boardwalk Storage Co LLC,0,NA,6700000,NA,23,10
Q4 2021,Bobcat Storage,0,NA,23542200,NA,34,20
Q4 2021,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q4 2021,Caledonia Energy Partners LLC,0,NA,7550000,NA,33,5
Q4 2021,Cameron Interstate Pipeline LLC,1540730,2018049,0,NA,178,6
Q4 2021,Chandeleur Pipe Line LLC,10000,120604,0,NA,26,1
Q4 2021,Cheniere Creole Trail Pipeline L.P.,1530000,NA,1530000,NA,257,1
Q4 2021,Cheyenne Plains Gas Pipeline Company LLC,496840,3121110,0,NA,71,15
Q4 2021,Cimarron River Pipeline LLC,254320,79778,0,NA,79,2
Q4 2021,Colorado Interstate Gas Company L.L.C.,5415612,17629589,41981992,82790195,180,142
Q4 2021,Columbia Gas Transmission LLC,16162410,190558460,257249022,NA,167,637
Q4 2021,Columbia Gulf Transmission LLC,5324292,24467864,0,NA,131,92
Q4 2021,Corpus Christi Pipeline,0,NA,2805000,NA,142,2
Q4 2021,Crossroads Pipeline Company,52228,196639,0,NA,78,7
Q4 2021,Dauphin Island Gathering Partners,40530,NA,0,NA,6,8
Q4 2021,Destin Pipeline Company L.L.C.,566170,4025473,0,NA,942,64
Q4 2021,Discovery Gas Transmission LLC,409699,NA,0,NA,2,59
Q4 2021,Dominion Energy Carolina Gas Transmission LLC,860743,3880208,0,NA,84,83
Q4 2021,Dominion Energy Cove Point LNG LP,3061999,40145456,7822500,NA,249,29
Q4 2021,East Cheyenne Gas Storage LLC,0,NA,6000000,NA,28,7
Q4 2021,East Tennessee Natural Gas LLC,1842126,11216682,1090043,NA,103,181
Q4 2021,Eastern Gas Transmission and Storage Inc,8571611,27938120,303803335,2206293,199,415
Q4 2021,Egan Hub Storage LLC,0,NA,21850000,NA,29,18
Q4 2021,El Paso Natural Gas Company L.L.C.,8162589,52806011,0,NA,117,240
Q4 2021,Elba Express Company L.L.C.,2043197,8299008,0,NA,155,23
Q4 2021,Empire Pipeline Inc.,964051,2461655,3753090,173393,106,15
Q4 2021,Enable Gas Transmission LLC,4347837,36051042,15355120,NA,74,756
Q4 2021,Enable Mississippi River Transmission LLC,1403438,3690135,27250818,44604138,258,87
Q4 2021,Equitrans L.P.,3908837,23108950,28242669,631467,115,60
Q4 2021,ETC Tiger Pipeline LLC,1210000,2751451,0,NA,25,11
Q4 2021,Florida Gas Transmission Company LLC,4365169,21889414,0,NA,284,179
Q4 2021,Florida Southeast Connection LLC,905000,NA,0,NA,288,3
Q4 2021,Freebird Gas Storage LLC,0,NA,4250000,NA,26,4
Q4 2021,Garden Banks Gas Pipeline LLC,117500,NA,0,NA,NA,13
Q4 2021,Gas Transmission Northwest LLC,2973929,NA,0,NA,218,129
Q4 2021,Golden Pass Pipeline LLC,2600910,2813413,0,NA,300,3
Q4 2021,Golden Triangle Storage Inc,165000,NA,11000000,NA,24,15
Q4 2021,Granite State Gas Transmission Inc.,84200,9727,0,NA,11,3
Q4 2021,Great Lakes Gas Transmission Limited Partnership,2716508,19226369,0,NA,87,90
Q4 2021,Guardian Pipeline L.L.C.,2457193,7526712,0,NA,118,28
Q4 2021,Gulf South Pipeline Company LP,10861404,82181843,66967970,NA,421,257
Q4 2021,Gulfstream Natural Gas System L.L.C.,1310000,NA,0,NA,230,17
Q4 2021,Hardy Storage Company LLC,0,NA,12361000,NA,174,3
Q4 2021,Honeoye Storage Corporation,0,NA,2176000,NA,25,10
Q4 2021,Horizon Pipeline Company L.L.C.,380000,1258560,0,NA,180,2
Q4 2021,Iroquois Gas Transmission System L.P.,1492120,9649589,0,NA,160,73
Q4 2021,Kern River Gas Transmission Company,3618010,34692561,0,NA,76,113
Q4 2021,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,48,1
Q4 2021,Kinder Morgan Louisiana Pipeline LLC,1070000,2157300,0,NA,93,3
Q4 2021,Kinetica Partners LLC,29447,322445,0,NA,381,4
Q4 2021,KPC Pipeline LLC,94754,630778,0,NA,46,9
Q4 2021,Leaf River Energy Center LLC,0,NA,26059117,NA,54,9
Q4 2021,Maritimes & Northeast Pipeline L.L.C.,1044226,9376186,0,NA,152,12
Q4 2021,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q4 2021,MarkWest Pioneer LLC,441000,NA,0,NA,91,7
Q4 2021,Midcontinent Express Pipeline LLC,1245000,22523950,0,NA,16,30
Q4 2021,Midwestern Gas Transmission Company,1469123,5185787,0,NA,170,53
Q4 2021,MIGC LLC,105121,201966,0,NA,81,10
Q4 2021,Millennium Pipeline Company LLC,2340969,37072225,0,NA,109,52
Q4 2021,Mississippi Canyon Gas Pipeline LLC,113603,46081,0,NA,NA,16
Q4 2021,Mississippi Hub LLC,0,NA,14500000,NA,41,13
Q4 2021,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,194,3
Q4 2021,Monroe Gas Storage Company LLC,0,NA,5250000,NA,30,7
Q4 2021,MountainWest Overthrust Pipeline LLC,1834218,2524413,0,NA,62,40
Q4 2021,MountainWest Pipeline LLC,2215230,11814310,54486118,6791473,166,95
Q4 2021,National Fuel Gas Supply Corporation,3098038,8092019,66940115,3001505,95,146
Q4 2021,National Grid LNG LLC,0,NA,2259664,NA,239,3
Q4 2021,Natural Gas Pipeline Company of America LLC,9842669,NA,266937200,NA,54,344
Q4 2021,Nautilus Pipeline Company L.L.C.,394947,1574671,0,NA,NA,53
Q4 2021,Nexus,1560500,35724654,0,NA,64,29
Q4 2021,NGO Transmission Inc.,76773,NA,43260,NA,217,1
Q4 2021,North Baja Pipeline LLC,972300,3467777,0,NA,200,15
Q4 2021,Northern Border Pipeline Company,3630094,NA,0,NA,108,181
Q4 2021,Northern Natural Gas Company,24042522,26504604,111161711,105534996,95,1360
Q4 2021,Northwest Pipeline LLC,5134797,39039014,8836002,NA,258,211
Q4 2021,OkTex Pipeline Company L.L.C.,5552,790743,0,NA,188,4
Q4 2021,Ozark Gas Transmission L.L.C.,151580,1202029,0,NA,80,10
Q4 2021,Paiute Pipeline Company,210725,NA,949872,NA,213,29
Q4 2021,Panhandle Eastern Pipe Line Company LP,2987083,642169,40707553,12706,240,200
Q4 2021,Perryville Gas Storage LLC,0,NA,7000000,NA,33,6
Q4 2021,PGPipeline LLC,11200,NA,0,NA,71,1
Q4 2021,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q4 2021,Pine Prairie Energy Center LLC,0,NA,54707600,NA,40,32
Q4 2021,Portland General Electric Company,159726,NA,0,NA,216,1
Q4 2021,Portland Natural Gas Transmission System LP,327863,8519291,0,NA,209,19
Q4 2021,Rendezvous Pipeline Company LLC,240000,NA,0,NA,164,3
Q4 2021,Rockies Express Pipeline LLC,5513200,113989480,0,NA,73,80
Q4 2021,Rover Pipeline LLC,3595000,10439714,0,NA,65,26
Q4 2021,Ruby Pipeline LLC,773000,26732350,0,NA,61,12
Q4 2021,Sabal Trail Transmission LLC,978000,50182735,0,NA,206,3
Q4 2021,Sabine Pipe Line LLC,303030,3825117,0,NA,240,1
Q4 2021,Saltville Gas Storage Company LLC,0,NA,5262010,573994,59,43
Q4 2021,Sea Robin Pipeline Company LLC,0,NA,0,NA,114,4
Q4 2021,SG Resources Mississippi LLC,0,NA,16125000,NA,38,13
Q4 2021,Sierrita Gas Pipeline LLC,431100,6423778,0,NA,261,1
Q4 2021,Southeast Supply Header LLC.,785000,6222294,0,NA,56,21
Q4 2021,Southern LNG Company LLC,0,NA,11761920,NA,267,3
Q4 2021,Southern Natural Gas Company L.L.C.,4475089,25684780,53092011,1268900,197,587
Q4 2021,Southern Star Central Gas Pipeline Inc.,3789214,10793885,44425693,221556,184,285
Q4 2021,Southwest Gas Storage Company,0,NA,57117890,NA,35,2
Q4 2021,Spire Storage West LLC,823,NA,22803772,NA,10,167
Q4 2021,Stagecoach Pipeline and Storage Company LLC,2172688,NA,28560510,NA,53,45
Q4 2021,Steckman Ridge LP,0,NA,8050000,NA,25,5
Q4 2021,Stingray Pipeline Company L.L.C.,3866,89885,0,NA,NA,7
Q4 2021,Tallgrass Interstate Gas Transmission LLC,632383,3297802,10297942,4686,100,77
Q4 2021,Tennessee Gas Pipeline Company L.L.C.,13484254,32832949,82227415,1149868,269,645
Q4 2021,Texas Eastern Transmission LP,14157776,19007163,71992173,468337549,110,503
Q4 2021,Texas Gas Transmission LLC,5257987,29979345,61960155,44091200,104,263
Q4 2021,Trailblazer Pipeline Company LLC,1329000,8757903,0,NA,158,72
Q4 2021,Trans-Union Interstate Pipeline LP,470000,773385,0,NA,181,4
Q4 2021,TransColorado Gas Transmission Company LLC,353000,3289749,0,NA,38,5
Q4 2021,Transcontinental Gas Pipe Line Company LLC,18442644,68787845,190090030,7820596,173,627
Q4 2021,Transwestern Pipeline Company LLC,2223277,13066403,0,NA,47,77
Q4 2021,Tres Palacios Gas Storage LLC,0,NA,30461751,NA,14,37
Q4 2021,Trunkline Gas Company LLC,3546337,5990854,3969945,10638177,90,111
Q4 2021,Tuscarora Gas Transmission Company,236584,1734279,0,NA,224,22
Q4 2021,UGI LNG Inc,10000,NA,10000,NA,97,1
Q4 2021,UGI Mt. Bethel Pipeline Company LLC,72000,NA,0,NA,239,1
Q4 2021,UGI Storage Company,0,NA,88002,NA,23,9
Q4 2021,UGI Sunbury LLC,200000,NA,0,NA,275,2
Q4 2021,USG Pipeline Company LLC,9200,NA,0,NA,150,2
Q4 2021,Vector Pipeline L.P.,3628087,14435438,0,NA,106,71
Q4 2021,Venice Gathering System L.L.C.,222584,NA,0,NA,403,10
Q4 2021,Viking Gas Transmission Company,618947,2418856,0,NA,154,111
Q4 2021,WBI Energy Transmission Inc.,1805776,3141373,14220857,333764,87,69
Q4 2021,WestGas InterState Inc.,0,NA,0,NA,NA,1
Q4 2021,White River Hub LLC,2400000,748392,0,NA,170,3
Q4 2021,WTG Hugoton L.P.,55100,168240,0,NA,183,3
Q4 2021,Wyoming Interstate Company L.L.C.,3516442,45089941,0,NA,73,56
Q4 2021,Young Gas Storage Company Ltd.,0,NA,6374843,20124104,343,2
Q3 2021,Algonquin Gas Transmission LLC,4725292,32751834,0,NA,87,152
Q3 2021,Alliance Pipeline L.P.,1828492,17280167,0,NA,65,61
Q3 2021,ANR Pipeline Company,8119417,39929534,188639877,NA,127,656
Q3 2021,ANR Storage Company,0,0,57240360,NA,99,20
Q3 2021,Arlington Storage Company LLC,90000,NA,11304000,NA,59,13
Q3 2021,BBT (AlaTenn) LLC,104502,189356,0,NA,109,19
Q3 2021,BBT (Midla) LLC,26725,10722,0,NA,114,6
Q3 2021,Big Sandy Pipeline LLC,137721,2378773,0,NA,198,2
Q3 2021,Blue Lake Gas Storage Company,0,NA,48000000,27480000,143,5
Q3 2021,Bluewater Gas Storage LLC,0,NA,32737010,NA,34,57
Q3 2021,Boardwalk Storage Co LLC,0,NA,6700000,NA,23,10
Q3 2021,Bobcat Storage,0,NA,23542200,NA,34,20
Q3 2021,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q3 2021,Caledonia Energy Partners LLC,0,NA,7550000,NA,33,5
Q3 2021,Cameron Interstate Pipeline LLC,1540730,2018049,0,NA,174,6
Q3 2021,Chandeleur Pipe Line LLC,10000,120604,0,NA,26,1
Q3 2021,Cheniere Creole Trail Pipeline L.P.,1530000,NA,0,NA,257,1
Q3 2021,Cheyenne Plains Gas Pipeline Company LLC,431840,2426104,0,NA,82,13
Q3 2021,Cimarron River Pipeline LLC,254320,79778,0,NA,79,2
Q3 2021,Colorado Interstate Gas Company L.L.C.,5408934,17412956,41981992,82790195,179,143
Q3 2021,Columbia Gas Transmission LLC,14208296,166070249,257249022,NA,165,645
Q3 2021,Columbia Gulf Transmission LLC,5229292,22998764,0,NA,132,91
Q3 2021,Corpus Christi Pipeline,2805000,7902246,0,NA,142,2
Q3 2021,Crossroads Pipeline Company,51707,157028,0,NA,78,7
Q3 2021,Dauphin Island Gathering Partners,42146,NA,0,NA,5,10
Q3 2021,Destin Pipeline Company L.L.C.,552582,3928859,0,NA,942,61
Q3 2021,Discovery Gas Transmission LLC,409589,NA,0,NA,2,58
Q3 2021,Dominion Energy Carolina Gas Transmission LLC,860663,3879533,0,NA,86,82
Q3 2021,Dominion Energy Cove Point LNG LP,2932499,37957812,7822500,NA,249,28
Q3 2021,East Cheyenne Gas Storage LLC,0,NA,6900000,NA,27,8
Q3 2021,East Tennessee Natural Gas LLC,1842126,14111516,1090043,NA,103,181
Q3 2021,Eastern Gas Transmission and Storage Inc,8551411,25535361,303803335,2207105,195,415
Q3 2021,Egan Hub Storage LLC,0,NA,21850000,NA,29,18
Q3 2021,El Paso Natural Gas Company L.L.C.,8064740,55456033,0,NA,116,237
Q3 2021,Elba Express Company L.L.C.,2043197,8299008,0,NA,158,23
Q3 2021,Empire Pipeline Inc.,964051,2461655,3753090,173393,97,15
Q3 2021,Enable Gas Transmission LLC,4124923,36563652,15355120,NA,74,756
Q3 2021,Enable Mississippi River Transmission LLC,1388338,3619175,26553895,43463415,264,85
Q3 2021,Equitrans L.P.,3736336,21522513,28242669,631467,125,55
Q3 2021,ETC Tiger Pipeline LLC,1535000,6190763,0,NA,36,8
Q3 2021,Florida Gas Transmission Company LLC,4371682,32052984,0,NA,286,178
Q3 2021,Florida Southeast Connection LLC,905000,NA,0,NA,288,3
Q3 2021,Freebird Gas Storage LLC,0,NA,4250000,NA,26,4
Q3 2021,Garden Banks Gas Pipeline LLC,119623,NA,0,NA,NA,13
Q3 2021,Gas Transmission Northwest LLC,2890251,NA,0,NA,204,129
Q3 2021,Golden Pass Pipeline LLC,2600910,2813413,0,NA,300,3
Q3 2021,Golden Triangle Storage Inc,165000,NA,5500000,NA,32,8
Q3 2021,Granite State Gas Transmission Inc.,84200,9727,0,NA,11,3
