Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"Columbia Gas Transmission, LLC",07/01/2018,FTS E,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.38150,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS LXP,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS LXP,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.89000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS LXP,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS LXP,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,47.54000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS LXP,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.45650,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS-GC,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS-GC,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.89000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS-GC,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS-GC,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,26.24000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,FTS-GC,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.24350,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,GTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,GTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,77.54000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,GTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,ISS,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,ISS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,5.92000,�/Dth     ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,ISS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,0.54000,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,ISS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Injection,1.53000,�/Dth     ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,ISS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Withdrawal,1.53000,�/Dth     ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,ITS,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,ITS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,22.50000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,ITS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,15.61000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,ITS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-131,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-131,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,0.54000,%         ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-131,343-9 | 815530,NaN,AC Riley | 742606,NaN,Storage Demand,0.02600,$/Dth/day ,Storage,Entire System
