Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-1,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,ACA,0.00130,$/Dth,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-1,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Commodity,0.00000,$/Dth     ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-1,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Overrun,0.14180,$/Dth     ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-1,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Reservation,4.31340,$/Dth/mth ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-2,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,ACA,0.00130,$/Dth,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-2,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Commodity,0.14180,$/Dth     ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-2,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Overrun,0.14180,$/Dth     ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-2,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Reservation,0.14180,$/Dth/day ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-3,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,ACA,0.00130,$/Dth,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-3,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Commodity,0.14180,$/Dth     ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-3,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Overrun,0.14180,$/Dth     ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,FT-3,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Reservation,0.14180,$/Dth/day ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,IT-1,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,ACA,0.00130,$/Dth,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,IT-1,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Commodity,0.14180,$/Dth     ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,IT-1,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Overrun,0.14180,$/Dth     ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,PSH,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,ACA,0.00130,$/Dth,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,PSH,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Commodity,0.07090,$/Dth/day ,System,Entire System
"Nautilus Pipeline Company, L.L.C.",07/01/2018,PSH,Acadian Onshore Receipt (992206) | 	NA008,NaN,Acadian Gas Pipeline (992210) | 	NA010,NaN,Overrun,0.07090,$/Dth     ,System,Entire System
"North Baja Pipeline, LLC",07/01/2018,FTS LAT-1,Blythe | 743615,NaN,APS Yucca | 953796,NaN,ACA,0.00130,$/Dth,System,Entire System
"North Baja Pipeline, LLC",07/01/2018,FTS LAT-1,Blythe | 743615,NaN,APS Yucca | 953796,NaN,Reservation,2.99760,$/Dth/mth ,System,Entire System
"North Baja Pipeline, LLC",07/01/2018,FTS-1,Blythe | 743615,NaN,APS Yucca | 953796,NaN,ACA,0.00130,$/Dth,System,Entire System
"North Baja Pipeline, LLC",07/01/2018,FTS-1,Blythe | 743615,NaN,APS Yucca | 953796,NaN,Commodity,0.00066,$/Dth     ,System,Entire System
"North Baja Pipeline, LLC",07/01/2018,FTS-1,Blythe | 743615,NaN,APS Yucca | 953796,NaN,Fuel,0.85000,%         ,System,Entire System
"North Baja Pipeline, LLC",07/01/2018,FTS-1,Blythe | 743615,NaN,APS Yucca | 953796,NaN,Reservation,3.99840,$/Dth/mth ,System,Entire System
